Retained Space by Class
=======================

Total Heap:    24.50 MB
Total Classes:     2892
Total Objects:   205719

# Objects    Retained        Size  Class
----------------------------------------
        1       40 B        40 B   com.sun.org.apache.xerces.internal.utils.XMLSecurityManager$NameMap[]
        1       40 B        24 B   sun.nio.cs.ThreadLocalCoders$2
        1       40 B        40 B   com.fasterxml.jackson.databind.introspect.AnnotatedClass$Creators
        1       40 B        24 B   com.arjuna.ats.internal.arjuna.coordinator.CheckedActionFactoryImple
        1       40 B        40 B   org.yaml.snakeyaml.DumperOptions$FlowStyle[]
        1       40 B        40 B   org.apache.http.config.SocketConfig
        1       40 B        24 B   org.hsqldb.jdbc.JDBCDriver
        1       40 B        40 B   com.sun.org.apache.xalan.internal.xsltc.compiler.util.ErrorMessages
        1       40 B        40 B   io.undertow.servlet.api.ServletStackTraces[]
        1       40 B        40 B   javax.validation.metadata.ValidateUnwrappedValue[]
        1       40 B        40 B   com.fasterxml.jackson.databind.annotation.JsonSerialize$Typing[]
        1       40 B        40 B   io.undertow.servlet.spec.HttpServletResponseImpl$ResponseState[]
        1       40 B        40 B   ch.qos.logback.core.spi.FilterReply[]
        1       40 B        40 B   com.arjuna.ats.internal.arjuna.recovery.PeriodicRecovery$Mode[]
        1       40 B        24 B   sun.nio.cs.ThreadLocalCoders$1
        1       40 B        40 B   org.hsqldb.types.BinaryUUIDType
        1       40 B        40 B   java.util.Collections$EmptyMap
        1       40 B        40 B   com.fasterxml.jackson.databind.ser.std.StdArraySerializers$BooleanArraySerializer
        1       40 B        40 B   com.sun.org.apache.xalan.internal.utils.XMLSecurityManager$NameMap[]
        1       40 B        40 B   org.jboss.resteasy.plugins.server.servlet.ServletBootstrap
        1       40 B        40 B   com.fasterxml.jackson.databind.ser.std.StdArraySerializers$IntArraySerializer
        1       40 B        40 B   java.net.Proxy$Type[]
        1       40 B        40 B   org.hibernate.validator.constraints.CompositionType[]
        1       40 B        40 B   io.undertow.Undertow$ListenerType[]
        1       40 B        40 B   java.net.Inet6AddressImpl
        1       40 B        40 B   com.fasterxml.jackson.databind.type.TypeBindings
        1       40 B        40 B   com.sun.security.ntlm.Version[]
        1       32 B        32 B   com.fasterxml.jackson.databind.deser.std.JsonNodeDeserializer$ObjectDeserializer
        1       32 B        32 B   java.net.Authenticator$RequestorType[]
        2       32 B        32 B   com.sun.org.apache.xerces.internal.impl.dv.dtd.ENTITYDatatypeValidator
        1       32 B        32 B   java.net.Proxy
        2       32 B        32 B   sun.nio.ch.KQueueSelectorProvider
        1       32 B        32 B   java.util.concurrent.LinkedBlockingQueue$Node
        1       32 B        32 B   com.fasterxml.jackson.databind.cfg.ContextAttributes$Impl
        1       32 B        32 B   com.fasterxml.jackson.databind.deser.impl.FailingDeserializer
        1       32 B        32 B   sun.util.logging.PlatformLogger$JavaLoggerProxy
        2       32 B        32 B   org.xml.sax.helpers.DefaultHandler
        1       32 B        32 B   org.apache.http.impl.cookie.DefaultCookieSpecProvider$CompatibilityLevel[]
        1       32 B        32 B   javax.xml.bind.annotation.XmlAccessOrder[]
        1       32 B        32 B   org.hibernate.validator.internal.metadata.core.ConstraintOrigin[]
        1       32 B        32 B   com.oracle.svm.core.option.SubstrateOptionsParser$BooleanOptionFormat[]
        1       32 B        32 B   com.fasterxml.jackson.databind.deser.std.JsonNodeDeserializer$ArrayDeserializer
        1       32 B        32 B   java.util.logging.ErrorManager
        2       32 B        32 B   java.security.ProtectionDomain
        2       32 B        32 B   com.sun.xml.bind.v2.runtime.property.SingleMapNodeProperty$ReceiverImpl
        1       32 B        32 B   javax.ws.rs.RuntimeType[]
        1       32 B        32 B   org.apache.http.conn.routing.RouteInfo$LayerType[]
        1       32 B        32 B   com.fasterxml.jackson.databind.introspect.SimpleMixInResolver
        1       32 B        32 B   org.postgresql.jdbc.TimestampUtils$Infinity[]
        2       32 B        32 B   org.jboss.resteasy.rxjava2.SingleProvider
        1       32 B        32 B   com.oracle.svm.core.thread.VMOperation$SystemEffect[]
        1       32 B        32 B   org.hibernate.validator.internal.engine.messageinterpolation.InterpolationTermType[]
        1       32 B        32 B   com.sun.xml.bind.v2.runtime.unmarshaller.DomLoader
        1       32 B        32 B   java.nio.charset.CoderResult$1
        1       32 B        32 B   org.hibernate.validator.internal.metadata.descriptor.ConstraintDescriptorImpl$ConstraintType[]
        2       32 B        32 B   com.fasterxml.jackson.databind.ser.BeanPropertyWriter[]
        1       32 B        32 B   java.nio.charset.CoderResult$2
        1       32 B        32 B   java.util.Formatter$BigDecimalLayoutForm[]
        1       32 B        32 B   org.jboss.shamrock.undertow.runtime.graal.URLResourceSubstitution$ResourceInfo
        1       32 B        32 B   org.postgresql.Driver
        1       32 B        32 B   java.net.StandardProtocolFamily[]
        1       32 B        32 B   com.sun.xml.bind.v2.model.impl.RuntimeAnyTypeImpl
        1       32 B        32 B   com.oracle.svm.core.posix.pthread.PthreadVMCondition[]
        1       32 B        32 B   com.fasterxml.jackson.databind.ser.impl.IndexedStringListSerializer
        1       32 B        32 B   jdk.xml.internal.JdkXmlFeatures$XmlFeature[]
        1       32 B        32 B   sun.security.jca.ProviderList$3
        2       32 B        32 B   com.sun.org.apache.xerces.internal.impl.dv.xs.QNameDV
        1       32 B        32 B   java.io.File$PathStatus[]
        1       32 B        32 B   com.fasterxml.jackson.annotation.JsonSetter$Value
        2       32 B        32 B   com.fasterxml.jackson.databind.node.BooleanNode
        1       32 B        32 B   ch.qos.logback.core.spi.ContextAwareBase
        2       32 B        32 B   java.util.concurrent.atomic.AtomicBoolean
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.ReaderProvider
        1       32 B        32 B   com.oracle.svm.core.code.ReusableTypeReader
        1       32 B        32 B   com.sun.xml.internal.bind.v2.runtime.unmarshaller.DomLoader
        1       32 B        32 B   java.net.InetAddress$Cache$Type[]
        1       32 B        32 B   io.undertow.servlet.core.DeploymentManagerImpl
        1       32 B        32 B   org.jboss.shamrock.openapi.runtime.OpenApiDocumentProducer_ClientProxy
        1       32 B        32 B   com.sun.xml.internal.bind.v2.model.impl.RuntimeAnyTypeImpl
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.ByteArrayProvider
        1       32 B        32 B   com.arjuna.ats.internal.arjuna.recovery.PeriodicRecovery$Status[]
        1       32 B        32 B   com.oracle.svm.core.heap.NoAllocationVerifier
        1       32 B        32 B   org.apache.http.impl.io.DefaultHttpResponseParserFactory
        1       32 B        32 B   com.sun.xml.internal.bind.v2.model.annotation.Messages[]
        1       32 B        32 B   com.sun.org.apache.xerces.internal.utils.XMLSecurityPropertyManager$Property[]
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.IIOImageProvider
        2       32 B        32 B   org.jboss.resteasy.plugins.interceptors.CacheControlFeature
        1       32 B        32 B   org.apache.http.impl.conn.DefaultHttpResponseParserFactory
        1       32 B        32 B   org.yaml.snakeyaml.DumperOptions$Version[]
        1       32 B        32 B   io.undertow.protocols.http2.HpackEncoder$State[]
        1       32 B        32 B   java.util.concurrent.atomic.LongAdder
        1       32 B        32 B   java.util.concurrent.ConcurrentHashMap$KeySetView
        1       32 B        32 B   org.apache.http.conn.routing.RouteInfo$TunnelType[]
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.JaxrsFormProvider
        1       32 B        32 B   org.jboss.shamrock.beanvalidation.runtime.ValidatorProvider_ClientProxy
        1       32 B        32 B   com.oracle.svm.core.posix.pthread.PthreadVMMutex
        1       32 B        32 B   java.util.ArrayList$Itr
        1       32 B        32 B   ch.qos.logback.classic.BasicConfigurator
        1       32 B        32 B   io.undertow.servlet.api.FilterMappingInfo$MappingType[]
        1       32 B        32 B   org.hibernate.validator.internal.metadata.descriptor.ConstraintDescriptorImpl$ComposingConstraintAnnotationLocation[]
        2       32 B        32 B   org.resteasy.reactivecontext.ResteasyContextProvider
        1       32 B        32 B   org.apache.http.impl.cookie.BrowserCompatSpecFactory$SecurityLevel[]
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.DataSourceProvider
        1       32 B        32 B   com.arjuna.ats.arjuna.coordinator.internal.TxCommitStatistic
        2       32 B        32 B   io.reactiverse.reactivecontexts.propagators.rxjava2.RxJava2ContextPropagator
        2       32 B        32 B   com.sun.org.apache.xerces.internal.xni.grammars.Grammar[]
        1       32 B        32 B   java.util.Base64$Encoder
        1       32 B        32 B   org.apache.http.auth.ChallengeState[]
        1       32 B        32 B   com.sun.org.apache.xml.internal.serializer.utils.Messages
        1       32 B        32 B   com.fasterxml.jackson.databind.deser.std.JsonNodeDeserializer
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.sse.SseEventProvider
        1       32 B        32 B   io.undertow.servlet.spec.ServletConfigImpl
        1       32 B        32 B   com.fasterxml.jackson.databind.AnnotationIntrospector$ReferenceProperty$Type[]
        1       32 B        32 B   org.apache.http.impl.client.ProxyAuthenticationStrategy
        1       32 B        32 B   org.eclipse.microprofile.health.HealthCheckResponse$State[]
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.FormUrlEncodedProvider
        1       32 B        32 B   com.fasterxml.jackson.databind.ser.impl.StringCollectionSerializer
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.StringTextStar
        2       32 B        32 B   org.postgresql.jdbc.UUIDArrayAssistant
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.InputStreamProvider
        1       32 B        32 B   com.sun.org.apache.xalan.internal.utils.XMLSecurityPropertyManager$Property[]
        1       32 B        32 B   com.fasterxml.jackson.databind.AnnotationIntrospector$ReferenceProperty
        2       32 B        32 B   com.sun.xml.internal.bind.v2.runtime.property.SingleMapNodeProperty$ReceiverImpl
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.DefaultTextPlain
        2       32 B        32 B   com.fasterxml.jackson.databind.JavaType[]
        2       32 B        32 B   org.jboss.resteasy.plugins.providers.SourceProvider
        1       32 B        32 B   com.oracle.svm.core.genscavenge.GreyToBlackObjectVisitor
        1       32 B        32 B   org.apache.http.impl.client.TargetAuthenticationStrategy
        1       32 B        32 B   com.sun.xml.bind.v2.model.annotation.Messages[]
        1       32 B        32 B   io.smallrye.openapi.runtime.io.OpenApiSerializer$Format[]
        1       32 B        32 B   com.fasterxml.jackson.databind.ser.impl.FailingSerializer
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_stringSize_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_hashCode_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_findImplicitPropertyName_com_fasterxml_jackson_databind_introspect_AnnotatedMember_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_arjuna_ats_jta_common_JTAEnvironmentBean_constructor__
        1       24 B        24 B   org.jboss.shamrock.example.datasource.DatasourceSetup_Bean$$function$$11
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_isVisible_com_fasterxml_jackson_databind_introspect_AnnotatedMethod_
        1       24 B        24 B   org.jboss.protean.arc.CurrentInjectionPointProvider$InjectionPointImpl
        1       24 B        24 B   java.util.concurrent.TimeUnit$5
        1       24 B        24 B   java.util.concurrent.TimeUnit$6
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_getTypeFactory__
        1       24 B        24 B   io.undertow.servlet.handlers.security.SSLInformationAssociationHandler
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_arc_runtime_ArcDeploymentTemplate_2_create_java_lang_Class_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_jpa_Human_setName_java_lang_String_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_glassfish_json_JsonProviderImpl_constructor__
        1       24 B        24 B   com.fasterxml.jackson.databind.ser.std.NullSerializer
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_validator_TestValidatorEndpoint_MyData_setName_java_lang_String_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_rest_TestResource_MyData_setValue_java_lang_String_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_findWrapperName_com_fasterxml_jackson_databind_introspect_Annotated_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_signum_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_constraints_Email_flags__
        1       24 B        24 B   java.util.regex.Pattern$CharPropertyNames$18
        1       24 B        24 B   org.jboss.shamrock.undertow.runtime.ShamrockInstanceFactory$1
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_toUnsignedString_int_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_findAdapter_com_fasterxml_jackson_databind_introspect_Annotated_boolean_java_lang_Class_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_glassfish_json_JsonProviderImpl_createPointer_java_lang_String_
        1       24 B        24 B   sun.nio.fs.MacOSXFileSystemProvider
        1       24 B        24 B   java.util.regex.UnicodeProp$14
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_bitCount_int_
        1       24 B        24 B   java.util.regex.Pattern$LastNode
        1       24 B        24 B   com.sun.xml.bind.Messages[]
        1       24 B        24 B   org.jboss.shamrock.beanvalidation.runtime.ValidatorProvider_Bean$$function$$4
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_getInteger_java_lang_String_int_
        1       24 B        24 B   java.util.regex.Pattern$CharPropertyNames$9
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_glassfish_json_JsonProviderImpl_createWriter_java_io_Writer_
        1       24 B        24 B   java.nio.file.LinkOption
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_sun_xml_internal_bind_v2_ContextFactory_getPropertyValue_java_util_Map_java_lang_String_java_lang_Class_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_glassfish_json_JsonProviderImpl_createArrayBuilder_java_util_Collection_
        1       24 B        24 B   io.undertow.servlet.handlers.ServletInitialHandler$2
        1       24 B        24 B   com.fasterxml.jackson.databind.ser.std.ByteArraySerializer
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector__findContentAdapter_com_fasterxml_jackson_databind_introspect_Annotated_boolean_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_constraints_EAN_message__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_plugins_interceptors_ServerContentEncodingAnnotationFeature_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_postgresql_hostchooser_MultiHostChooser_rtrim_int_java_util_List_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_longValue__
        1       24 B        24 B   sun.nio.cs.UTF_16BE
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_toOctalString_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_glassfish_json_JsonProviderImpl_createMergePatch_javax_json_JsonValue_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_rest_TestResource_XmlObject_getValue__
        1       24 B        24 B   java.util.regex.Pattern$CharPropertyNames$20
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_constraints_URL_groups__
        1       24 B        24 B   com.oracle.svm.core.os.OSCommittedMemoryProvider$VirtualMemoryTracker
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_client_jaxrs_internal_CompletionStageRxInvokerProvider_constructor__
        1       24 B        24 B   sun.util.calendar.Gregorian
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_internal_constraintvalidators_bv_MaxValidatorForCharSequence_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_sun_xml_bind_v2_ContextFactory_createContext__Ljava_lang_Class__java_util_Collection_java_util_Map_java_lang_String_boolean_com_sun_xml_bind_v2_model_annotation_RuntimeAnnotationReader_boolean_boolean_boolean_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_constraints_EAN_type__
        1       24 B        24 B   com.oracle.svm.core.posix.darwin.Util_java_lang_System
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_plugins_providers_InputStreamProvider_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_io_smallrye_metrics_interceptors_MeteredInterceptor_meteredMethod_javax_interceptor_InvocationContext_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_constraints_URL_message__
        1       24 B        24 B   java.util.regex.UnicodeProp$12
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_rest_TestResource_MyData_getValue__
        1       24 B        24 B   java.math.MathContext
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector__rawDeserializationType_com_fasterxml_jackson_databind_introspect_Annotated_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_glassfish_json_JsonProviderImpl_createPatchBuilder__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_io_smallrye_metrics_interceptors_MetricNameFactory_metricName_javax_enterprise_inject_spi_BeanManager_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_sun_xml_bind_v2_ContextFactory_getPropertyValue_java_util_Map_java_lang_String_java_lang_Class_
        1       24 B        24 B   java.util.regex.UnicodeProp$3
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_javax_xml_datatype_FactoryFinder_findServiceProvider_java_lang_Class_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_parseUnsignedInt_java_lang_String_
        1       24 B        24 B   ch.qos.logback.core.joran.spi.ConsoleTarget$1
        1       24 B        24 B   org.jboss.shamrock.arc.runtime.ArcDeploymentTemplate$2$2
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector__doFindDeserializationType_com_fasterxml_jackson_databind_introspect_Annotated_com_fasterxml_jackson_databind_JavaType_
        1       24 B        24 B   org.jboss.shamrock.transactions.runtime.TransactionProducers_ProducerMethod22_Bean$$function$$20
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_plugins_providers_sse_SseEventProvider_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_parseInt_java_lang_String_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_glassfish_json_JsonProviderImpl_createReader_java_io_Reader_
        1       24 B        24 B   com.fasterxml.jackson.databind.ser.std.NumberSerializers$ShortSerializer
        1       24 B        24 B   org.apache.http.config.MessageConstraints
        1       24 B        24 B   org.apache.http.impl.io.DefaultHttpRequestWriterFactory
        1       24 B        24 B   java.util.regex.UnicodeProp$8
        1       24 B        24 B   sun.util.locale.provider.CalendarNameProviderImpl
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_sun_xml_internal_bind_v2_ContextFactory_createContext__Ljava_lang_Class__java_util_Collection_java_util_Map_java_lang_String_boolean_com_sun_xml_internal_bind_v2_model_annotation_RuntimeAnnotationReader_boolean_boolean_boolean_boolean_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_constraints_URL_flags__
        1       24 B        24 B   com.fasterxml.jackson.databind.type.TypeParser
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_plugins_interceptors_MessageSanitizerContainerResponseFilter_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hsqldb_jdbc_JDBCDriver_constructor__
        1       24 B        24 B   java.text.MessageFormat$Field
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_isVisible_com_fasterxml_jackson_databind_introspect_AnnotatedField_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_constructor_com_fasterxml_jackson_databind_type_TypeFactory_boolean_
        1       24 B        24 B   sun.nio.cs.UTF_32BE
        1       24 B        24 B   org.postgresql.util.GT
        1       24 B        24 B   com.oracle.svm.core.jdk.SystemPropertiesSupport$$Lambda$194.2066420030
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_compare_int_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_rest_TestResource_MyData_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_rxjava2_SingleRxInvokerProvider_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_findSubtypes_com_fasterxml_jackson_databind_introspect_Annotated_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_rxjava2_ObservableRxInvokerImpl_eventSourceToObservable_org_jboss_resteasy_plugins_providers_sse_client_SseEventSourceImpl_javax_ws_rs_core_GenericType_java_lang_String_javax_ws_rs_client_Entity__Ljavax_ws_rs_core_MediaType__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_rest_TestResource_XmlObject_constructor__
        1       24 B        24 B   java.nio.ByteOrder
        1       24 B        24 B   com.oracle.svm.core.jdk.SystemPropertiesSupport$$Lambda$192.1621441613
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_valueOf_java_lang_String_int_
        1       24 B        24 B   io.undertow.servlet.core.SessionListenerBridge$1
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_toUnsignedLong_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_sun_xml_internal_bind_v2_ContextFactory_createContext_java_lang_String_java_lang_ClassLoader_java_util_Map_
        1       24 B        24 B   java.util.regex.UnicodeProp$5
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_sun_proxy__Proxy227_constructor_java_lang_reflect_InvocationHandler_
        1       24 B        24 B   com.fasterxml.jackson.databind.ser.impl.UnknownSerializer
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_plugins_providers_IIOImageProvider_constructor__
        1       24 B        24 B   java.util.concurrent.TimeUnit$2
        1       24 B        24 B   org.jboss.shamrock.transactions.runtime.TransactionProducers_ProducerMethod21_Bean$$function$$19
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_constraints_Range_groups__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_rxjava2_FlowableRxInvokerProvider_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_xnio_ChannelListeners_flushingChannelListener_org_xnio_ChannelListener_org_xnio_ChannelExceptionHandler_
        1       24 B        24 B   sun.util.locale.provider.TimeZoneNameProviderImpl
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_glassfish_json_JsonProviderImpl_createObjectBuilder_javax_json_JsonObject_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_internal_constraintvalidators_bv_size_SizeValidatorForArraysOfFloat_constructor__
        1       24 B        24 B   sun.net.spi.DefaultProxySelector
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_plugins_providers_FileRangeWriter_constructor__
        1       24 B        24 B   com.oracle.svm.core.log.RealLog
        1       24 B        24 B   java.util.regex.UnicodeProp$7
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_rest_TestResource_MyData_getName__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_io_smallrye_metrics_interceptors_MeteredInterceptor_constructor_javax_enterprise_inject_spi_Bean_org_eclipse_microprofile_metrics_MetricRegistry_
        1       24 B        24 B   io.smallrye.metrics.MetricRegistries_ClientProxy
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_internal_constraintvalidators_bv_size_SizeValidatorForArraysOfLong_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_getNameUsedForXmlValue__
        1       24 B        24 B   java.util.regex.UnicodeProp$17
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_formatUnsignedInt_int_int__C_int_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_setNonNillableInclusion_com_fasterxml_jackson_annotation_JsonInclude_Include_
        1       24 B        24 B   io.smallrye.metrics.MetricRegistries_Bean$$function$$9
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_hashCode__
        1       24 B        24 B   com.fasterxml.jackson.databind.deser.std.StringDeserializer
        1       24 B        24 B   com.fasterxml.jackson.databind.jsontype.impl.StdSubtypeResolver
        1       24 B        24 B   com.oracle.svm.core.deopt.DeoptimizationSupport
        1       24 B        24 B   io.smallrye.metrics.MetricRegistries_ProducerMethod6_Bean$$function$$14
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_toUnsignedString_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_numberOfTrailingZeros_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_io_smallrye_metrics_interceptors_MetricsInterceptor_metrics_javax_interceptor_InvocationContext_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_plugins_interceptors_CacheControlFeature_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_shamrock_example_validator_TestValidatorEndpoint_MyData_setEmail_java_lang_String_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_internal_constraintvalidators_bv_size_SizeValidatorForArraysOfShort_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_plugins_providers_FileProvider_constructor__
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_jboss_resteasy_rxjava2_ObservableProvider_constructor__
        1       24 B        24 B   org.apache.http.impl.client.DefaultRedirectStrategy
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_hibernate_validator_internal_constraintvalidators_bv_size_SizeValidatorForCharSequence_constructor__
        1       24 B        24 B   java.util.regex.UnicodeProp$4
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_org_xnio_ChannelListeners_openListenerAdapter_org_xnio_ChannelListener_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_java_lang_Integer_toString_int_
        1       24 B        24 B   com\oracle\svm\reflect\proxies\Proxy_com_fasterxml_jackson_module_jaxb_JaxbAnnotationIntrospector_findAccessType_com_fasterxml_jackson_databind_introspect_Annotated_
        1       24 B        24 B   java.util.regex.Pattern$4
