Retained Space by Class
=======================

Total Heap:    24.50 MB
Total Classes:     2892
Total Objects:   205719

# Objects    Retained        Size  Class
----------------------------------------
       14    19.32 KB     1008 B   org.jboss.resteasy.spi.metadata.DefaultResourceClass
        1    18.71 KB       24 B   sun.text.normalizer.UBiDiProps
       14    18.50 KB     1.75 KB  io.smallrye.openapi.api.models.PathItemImpl
      587    18.34 KB    18.34 KB  java.lang.Integer
      269    17.88 KB    10.51 KB  io.undertow.util.HttpString
        1    17.78 KB       24 B   sun.net.idn.StringPrep$StringPrepTrieImpl
       15    17.70 KB      560 B   org.jboss.resteasy.spi.metadata.ResourceMethod[]
       27    16.92 KB     1.27 KB  java.util.regex.Pattern$BnM
       14    16.75 KB     1.64 KB  io.smallrye.openapi.api.models.OperationImpl
      197    16.70 KB    13.85 KB  java.util.logging.LogManager$LoggerWeakRef
        1    16.58 KB       88 B   sun.util.locale.provider.RuleBasedBreakIterator
        1    16.19 KB      136 B   java.util.logging.LogManager$RootLogger
        2    16.15 KB      288 B   org.hsqldb.lib.IntValueHashMap
       20    15.90 KB      640 B   java.util.Collections$UnmodifiableRandomAccessList
      101    15.88 KB     2.37 KB  java.lang.Deprecated$$ProxyImpl
      396    15.47 KB    15.47 KB  java.util.concurrent.locks.ReentrantLock$NonfairSync
      104    15.17 KB     3.25 KB  java.util.regex.Pattern$GroupTail
       39    15.05 KB     4.27 KB  java.security.Provider$Service
        1    14.90 KB       72 B   ch.qos.logback.classic.LoggerContext
      183    14.30 KB     7.15 KB  org.hibernate.validator.internal.engine.constraintvalidation.ClassBasedValidatorDescriptor
      153    14.16 KB     7.17 KB  sun.util.locale.LocaleObjectCache$CacheEntry
       14    13.81 KB     1.42 KB  io.smallrye.openapi.api.models.responses.APIResponsesImpl
        1    13.73 KB       64 B   org.hibernate.validator.internal.engine.ValidatorFactoryImpl$ValidatorFactoryScopedContext
        1    13.59 KB       72 B   org.hibernate.validator.messageinterpolation.ParameterMessageInterpolator
        1    13.56 KB       32 B   sun.text.CompactByteArray
        3    13.43 KB      264 B   org.hibernate.validator.internal.util.ConcurrentReferenceHashMap
        1    13.28 KB       32 B   sun.security.jca.ProviderList
       18    13.24 KB      600 B   java.lang.reflect.Field[]
        1    13.22 KB       96 B   sun.security.jca.ProviderConfig[]
        3    13.17 KB      432 B   org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment[]
       10    13.13 KB      560 B   sun.security.jca.ProviderConfig
       48    12.75 KB     3.38 KB  org.hibernate.validator.internal.util.ConcurrentReferenceHashMap$Segment
        1    12.58 KB      144 B   sun.security.rsa.SunRsaSign
       73    11.41 KB     1.71 KB  com.fasterxml.jackson.databind.annotation.JacksonStdImpl$$ProxyImpl
       28    11.33 KB      656 B   sun.reflect.annotation.TypeAnnotation[]
        3    11.27 KB      672 B   java.lang.Object[][]
       19    11.13 KB      608 B   javax.ws.rs.Produces$$ProxyImpl
      228    10.88 KB    10.86 KB  java.lang.annotation.ElementType[]
      248    10.80 KB     4.13 KB  sun.reflect.generics.tree.FormalTypeParameter[]
       25    10.71 KB      800 B   javax.ws.rs.Path$$ProxyImpl
       26    10.69 KB     1.22 KB  sun.reflect.annotation.TypeAnnotation
        6    10.49 KB      672 B   java.text.SimpleDateFormat
       52    10.44 KB     3.25 KB  sun.net.www.MimeEntry
       46    10.36 KB     1.80 KB  java.util.regex.Pattern$5
      105    10.23 KB     3.79 KB  char[][]
      323    10.16 KB    10.09 KB  sun.reflect.generics.scope.MethodScope
       68    10.09 KB     1.59 KB  java.util.concurrent.CopyOnWriteArraySet
        1     9.80 KB       56 B   sun.text.resources.FormatData
       14     9.55 KB      896 B   io.smallrye.openapi.api.models.responses.APIResponseImpl
       22     9.45 KB     6.88 KB  io.smallrye.openapi.api.models.media.SchemaImpl
        2     9.37 KB      128 B   org.eclipse.microprofile.metrics.annotation.Counted$$ProxyImpl
       15     9.34 KB     1.41 KB  io.smallrye.openapi.api.models.media.ContentImpl
        1     9.07 KB       32 B   javax.validation.constraints.Pattern$List$$ProxyImpl
        1     8.98 KB       72 B   org.hibernate.validator.constraints.Mod10Check$$ProxyImpl
        1     8.87 KB      840 B   char[][][]
       13     8.67 KB      416 B   javax.ws.rs.Consumes$$ProxyImpl
        1     8.59 KB      136 B   io.undertow.servlet.core.DeploymentImpl
        1     8.51 KB       56 B   com.oracle.svm.core.handles.ObjectHandlesImpl
        1     8.44 KB       72 B   java.util.logging.ConsoleHandler
       57     8.37 KB     2.23 KB  org.jboss.resteasy.spi.ResteasyProviderFactory$SortedKey
        3     8.23 KB     2.08 KB  java.lang.Integer[]
        1     8.05 KB     2.02 KB  io.undertow.protocols.http2.HPackHuffman$HuffmanCode[]
        1     7.99 KB     2.02 KB  java.lang.Long[]
        1     7.91 KB       64 B   org.hibernate.validator.constraints.LuhnCheck$$ProxyImpl
        1     7.80 KB       48 B   java.util.logging.LogManager$SystemLoggerContext
      188     7.74 KB     7.34 KB  java.util.RegularEnumSet
        1     7.60 KB       64 B   org.eclipse.microprofile.metrics.annotation.Metered$$ProxyImpl
        1     7.60 KB       64 B   org.eclipse.microprofile.metrics.annotation.Timed$$ProxyImpl
       95     7.54 KB     2.23 KB  com.sun.org.apache.xml.internal.serializer.ElemDesc
       13     7.43 KB      312 B   javax.annotation.Priority$$ProxyImpl
      153     7.17 KB     7.17 KB  sun.util.locale.BaseLocale
